,accelero,gyro,magneto,euler angles,quaternion,temperature
0,"(0.03, 0.18, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
1,"(0.03, 0.17, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
2,"(0.02, 0.16, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
3,"(0.05, 0.18, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
4,"(0.03, 0.16, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
5,"(0.03, 0.17, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
6,"(0.04, 0.15, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
7,"(1.31, 0.15, 9.39)","(0.13962634015954636, 0.0, 0.0)","(9.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
8,"(0.03, 0.14, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",29
9,"(0.03, 0.16, 9.39)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
10,"(0.03, 0.2, 9.4)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
11,"(0.03, 0.15, 9.43)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
12,"(0.04, 0.14, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
13,"(0.04, 0.16, 9.41)","(0.0, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
14,"(0.04, 0.18, 9.42)","(0.13962634015954636, 0.0, 0.0)","(1.0625, -1.0625, 0.0)","(360.0, 0.1875, -1.0)","(0.99993896484375, 0.00897216796875, -0.0018310546875, 0.0)",-99
